TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION 1 TYPE,VARIATION 1 NAME,VARIATION 1 VALUES,VARIATION 2 TYPE,VARIATION 2 NAME,VARIATION 2 VALUES,SKU
Tropical pineapple clay bead bracelet,"This tropical bracelet has a pineapple charm with blue, green, and yellow clay beads surrounding it.",5,USD,4,,,https://i.etsystatic.com/45496600/r/il/926908/5194750244/il_fullxfull.5194750244_im9s.jpg,https://i.etsystatic.com/45496600/r/il/8b7c3c/5194751138/il_fullxfull.5194751138_29tk.jpg,,,,,,,,,,,,,,,
purple elephant Clay beaded bracelet,"Perfect for stacking with other bracelets or wearing solo. Its bright color palette and playful character make it ideal for casual days, music festivals, school spirit wear, or as a standout playful piece under minimalist outfits.",5,USD,3,"elephant,purple,silver,clay_beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/c28722/7154837911/il_fullxfull.7154837911_ljzo.jpg,https://i.etsystatic.com/45496600/r/il/f98056/7154837909/il_fullxfull.7154837909_haao.jpg,,,,,,,,,,,,,,,
mamma Mia beaded bracelet,"Mamma Mia themed with white and blue porcelain beads and a gold touch. Crafted on a stretch cord, this bracelet effortlessly adapts to various wrist sizes, ensuring both ease and comfort—perfect whether worn solo or layered.",4,USD,2,"mamma_Mia,beaded_bracelet,blue_and_white",,https://i.etsystatic.com/45496600/r/il/35b601/7106849276/il_fullxfull.7106849276_hwo5.jpg,https://i.etsystatic.com/45496600/r/il/d5fa6d/7106849270/il_fullxfull.7106849270_5d6l.jpg,,,,,,,,,,,,,,,
pink golden beaded bracelet,This cute staple piece is for sure complement worthy with its pink and golden beads with pearls.,2,USD,4,"pink,bracelet,beaded_bracelet",,https://i.etsystatic.com/45496600/r/il/adc79b/7106841608/il_fullxfull.7106841608_fx67.jpg,https://i.etsystatic.com/45496600/r/il/b9285c/7154814769/il_fullxfull.7154814769_jdut.jpg,,,,,,,,,,,,,,,
beach oyster clay beaded bracelet,Beach oyster is a bracelet with beachy colors and a golden oyster charm,5,USD,2,"shell,golden,beachy,clay_beaded_bracelet",clay beaded,https://i.etsystatic.com/45496600/r/il/ae4d38/7106785812/il_fullxfull.7106785812_1aov.jpg,https://i.etsystatic.com/45496600/r/il/e757fb/7106785814/il_fullxfull.7106785814_rvhc.jpg,,,,,,,,,,,,,,,
blue wave beaded necklace,This necklace is the perfect layering piece with a simple mix of blue and white beads,4,USD,4,blue_beaded_necklace,"beaded,blue beads,white beads",https://i.etsystatic.com/45496600/r/il/6e6a80/7106777228/il_fullxfull.7106777228_9xdx.jpg,https://i.etsystatic.com/45496600/r/il/bdeea1/7154749987/il_fullxfull.7154749987_sheh.jpg,,,,,,,,,,,,,,,
golden beaded bracelet,These variety of bracelets come in different colors with golden and white beads.,2.5,USD,10,,,https://i.etsystatic.com/45496600/r/il/1707ea/7106763152/il_fullxfull.7106763152_amf2.jpg,https://i.etsystatic.com/45496600/r/il/78cc01/7106763150/il_fullxfull.7106763150_cosf.jpg,https://i.etsystatic.com/45496600/r/il/383960/7154735823/il_fullxfull.7154735823_exkw.jpg,https://i.etsystatic.com/45496600/r/il/8ef144/7106763146/il_fullxfull.7106763146_kewm.jpg,https://i.etsystatic.com/45496600/r/il/e5d0e9/7106763148/il_fullxfull.7106763148_n6l6.jpg,,,,,,Custom Property,color,"blue,pink,purple",,,,
green Hawaiian clay bead bracelet,This green bracelet has a variety of green clay beads with a Hawaiian flower in the middle.,5,USD,6,,,https://i.etsystatic.com/45496600/r/il/544a0b/5915474497/il_fullxfull.5915474497_f5dh.jpg,https://i.etsystatic.com/45496600/r/il/45b57f/5915474509/il_fullxfull.5915474509_3unf.jpg,https://i.etsystatic.com/45496600/r/il/9436aa/6637488897/il_fullxfull.6637488897_7nst.jpg,https://i.etsystatic.com/45496600/r/il/120551/6589381150/il_fullxfull.6589381150_i7jb.jpg,,,,,,,Custom Property,surrounding beads,"pearl,gold balls",,,,
gold feather clay bead bracelet,This beautiful clay bead bracelet has a gold feather and spacer beads with white clay beads.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/300355/5915488823/il_fullxfull.5915488823_o0c3.jpg,https://i.etsystatic.com/45496600/r/il/5692f4/5915488821/il_fullxfull.5915488821_1vl7.jpg,,,,,,,,,,,,,,,
4th of July beaded bracelet,"This bracelet includes red, white, blue seed beads with a gold star. This bracelet can be worn on the Fourth of July , memorial day or any day that needs  a cute red, white and blue bracelet.",2,USD,4,"Fourth_of_July,independence_day,memorial_day",,https://i.etsystatic.com/45496600/r/il/2b7286/6178405447/il_fullxfull.6178405447_gf65.jpg,https://i.etsystatic.com/45496600/r/il/45916c/6178405441/il_fullxfull.6178405441_y11u.jpg,,,,,,,,,,,,,,,
Taylor Swift TTPD clay bead bracelet,This Taylor swift inspired bracelet is based on her album the tortured poets department. It includes silver lettering and gray like clay beads.,5,USD,3,"Taylor_swift,ttpd",,https://i.etsystatic.com/45496600/r/il/5f9cff/6130240564/il_fullxfull.6130240564_s8j6.jpg,https://i.etsystatic.com/45496600/r/il/ec3f34/6130240562/il_fullxfull.6130240562_2rit.jpg,https://i.etsystatic.com/45496600/r/il/c688bd/6130240560/il_fullxfull.6130240560_n2fr.jpg,,,,,,,,,,,,,,
blue cream clay bead bracelet,"This beautiful summer bracelet has cream, tie-dye, blue clay beads in a mix of a  cute design.",3,USD,2,,,https://i.etsystatic.com/45496600/r/il/75c807/6178400449/il_fullxfull.6178400449_1zjn.jpg,https://i.etsystatic.com/45496600/r/il/47042d/6130290490/il_fullxfull.6130290490_qan9.jpg,,,,,,,,,,,,,,,
honey bee clay bead bracelet,This cute clay bracelet includes a honeybee like color design.,2,USD,2,,,https://i.etsystatic.com/45496600/r/il/b27121/6130286418/il_fullxfull.6130286418_rv4x.jpg,https://i.etsystatic.com/45496600/r/il/736c3c/6130286416/il_fullxfull.6130286416_9s0e.jpg,,,,,,,,,,,,,,,
pearl purple mint beaded bracelet,This bracelet includes pearls with and purple and mint colored bead twist.,2,USD,2,,,https://i.etsystatic.com/45496600/r/il/46f9e7/6130229258/il_fullxfull.6130229258_10lj.jpg,https://i.etsystatic.com/45496600/r/il/37037c/6178338849/il_fullxfull.6178338849_ao11.jpg,,,,,,,,,,,,,,,
pink blue pearl beaded bracelet,"This adorable bracelet has pink,blue, and white beads and some white pearls.",2,USD,4,,,https://i.etsystatic.com/45496600/r/il/3740ae/6130233954/il_fullxfull.6130233954_lg99.jpg,https://i.etsystatic.com/45496600/r/il/da849d/6178343737/il_fullxfull.6178343737_kuw4.jpg,,,,,,,,,,,,,,,
pink pearl beaded bracelet,This cute and fun bracelet has big white pearls with fun pink beads.,2,USD,2,,,https://i.etsystatic.com/45496600/r/il/79399a/6178331823/il_fullxfull.6178331823_edh9.jpg,https://i.etsystatic.com/45496600/r/il/c7bfba/6178331825/il_fullxfull.6178331825_easq.jpg,,,,,,,,,,,,,,,
pastel cross beaded bracelet,This is such a cute summer bracelet that has pastel colored beads and a white cross in the center.,3,USD,4,,,https://i.etsystatic.com/45496600/r/il/55d1d7/6178321261/il_fullxfull.6178321261_3ika.jpg,https://i.etsystatic.com/45496600/r/il/d28ac0/6130211442/il_fullxfull.6130211442_cgw4.jpg,https://i.etsystatic.com/45496600/r/il/372c75/6178321265/il_fullxfull.6178321265_21q3.jpg,,,,,,,,,,,,,,
black pearl clay bead bracelet,This bracelet includes white pearls with surrounding black clay beads and a flower charm to finish it off.,5,USD,2,"flower,pearl,Clay_bead_bracelet",,https://i.etsystatic.com/45496600/r/il/bdc7f2/6639389515/il_fullxfull.6639389515_1if9.jpg,https://i.etsystatic.com/45496600/r/il/5272a3/6591276226/il_fullxfull.6591276226_sn39.jpg,,,,,,,,,,,,,,,
Pink star clay bead bracelet,"A beautiful star bracelet with pinks, yellows, and blues.",5,USD,1,,,https://i.etsystatic.com/45496600/r/il/6ed987/5194805810/il_fullxfull.5194805810_31o1.jpg,https://i.etsystatic.com/45496600/r/il/423538/5194808338/il_fullxfull.5194808338_gctx.jpg,,,,,,,,,,,,,,,
Candy clay bead bracelet,A cute and simple candy clay bead bracelet.,5,USD,2,,,https://i.etsystatic.com/45496600/r/il/fbd11a/5442988983/il_fullxfull.5442988983_jyph.jpg,https://i.etsystatic.com/45496600/r/il/f90482/5442989135/il_fullxfull.5442989135_2gzb.jpg,,,,,,,,,,,,,,,
Olivia Rodrigo guts clay bead bracelet,Olivia Rodrigo’s album guts! All the colors are inspired by her new album!,5,USD,3,,,https://i.etsystatic.com/45496600/r/il/cb5c18/5394829756/il_fullxfull.5394829756_nd8p.jpg,https://i.etsystatic.com/45496600/r/il/774363/5442980239/il_fullxfull.5442980239_1dbv.jpg,https://i.etsystatic.com/45496600/r/il/be3898/5442980529/il_fullxfull.5442980529_ljfi.jpg,,,,,,,,,,,,,,
